N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,1,1,2,NA,NA,2,9,4165,1076
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4165,3944
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,0,30,30,1,1,1,2,NA,NA,1,10,4165,359
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,20,20,3,3,1,2,NA,NA,3,7,4166,525
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4166,2101
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,0,40,40,2,1,1,2,NA,NA,1,10,4166,1050
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,2,0,120,1,1,1,2,NA,NA,1,10,4166,788
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3961,131
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,1,1,0,4,0,240,5,2,1,1,2,NA,5,3,3961,262
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,1,1,0,3,0,180,4,2,1,2,NA,NA,4,5,3961,262
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,30,30,3,3,1,2,NA,NA,3,7,3961,262
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,1,NA,1,2,NA,NA,1,10,3962,6396
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,1,2,3,1,1,1,0,5,0,300,6,2,1,1,2,NA,5,2,3962,640
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,2,2,1,2,NA,NA,2,9,3962,640
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,2,2,2,2,0,1,0,60,1,1,1,2,NA,NA,1,10,3962,640
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,3962,320
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,2,2,2,2,0,0,40,40,2,2,1,2,NA,NA,2,8,3962,320
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4168,3683
4,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,3,NA,1,2,NA,NA,3,7,4168,409
2,51,"Banco, supermercado, tiendas o farmacias",2,3,3,3,2,3,3,2,3,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4168,3274
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,1,0,60,1,2,1,2,NA,NA,2,9,4168,409
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,2,0,120,2,4,1,2,NA,NA,4,5,4169,1447
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,4014,3657
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4014,332
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4139,1448
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,5,2,1,1,2,NA,4,4,4139,290
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4140,2761
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,1,1,2,NA,NA,1,10,4140,460
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4140,460
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4140,460
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,2,3,3,2,2,2,0,0,40,40,4,2,1,2,NA,NA,2,9,4140,414
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,2,2,1,1,1,2,NA,NA,1,10,4140,2761
7,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,45,45,2,2,1,2,NA,NA,1,10,4140,2209
2,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,1,10,4141,690
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,1,10,4141,690
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,1,10,4141,2300
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,9,4141,2530
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,1,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4141,230
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,30,90,2,2,1,2,NA,NA,1,10,4016,1465
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,5,2,1,1,2,NA,2,8,4016,209
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4016,209
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,4,0,240,4,3,1,1,2,NA,3,7,4016,418
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,2,1,0,2,30,150,4,2,1,2,NA,NA,3,7,3967,1547
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,1,2,2,2,2,2,0,1,0,60,4,4,1,2,NA,NA,3,7,3968,591
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,2,2,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,3968,1479
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,2,2,2,2,2,2,0,0,15,15,5,5,2,1,2,NA,5,2,3968,444
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,2,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,3968,4436
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,2,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3968,444
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,3968,444
9,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,2,2,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,9,3968,444
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,2,0,0,10,10,4,4,2,1,2,NA,5,2,3968,444
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,2,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,8,3968,2957
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3969,550
4,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,2,2,1,1,1,2,NA,NA,1,10,3969,412
5,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,2,9,3969,824
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,3969,412
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,1,1,1,1,1,2,9,3960,578
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,2,2,2,2,0,1,30,90,5,2,1,1,2,NA,2,8,3960,4048
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,3,3,1,1,1,1,2,NA,2,9,3960,578
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,7,7,2,1,1,2,NA,NA,1,10,3960,578
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,9,3,3,3,0,0,2,2,2,NA,1,2,NA,NA,2,9,3960,4241
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,5,0,300,4,2,1,1,2,NA,3,7,3960,1157
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,3960,386
