N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
19,51,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,10,10,2,9,1,2,NA,NA,3,7,4136,308
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,2,2,2,2,1,2,0,9,0,540,3,2,1,1,2,NA,3,7,3935,527
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,2,2,2,1,2,0,7,0,420,4,4,1,2,NA,NA,3,7,3935,527
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,1,2,2,2,2,2,2,1,0,2,0,120,2,2,1,2,NA,NA,2,8,4136,308
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,2,3,2,2,1,0,4,0,240,3,3,1,1,2,NA,3,6,4136,308
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,2,NA,1,10,4136,3076
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,2,3,3,2,2,1,0,2,0,120,5,6,1,2,NA,NA,3,6,4137,867
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,9,4137,289
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,5,5,6,6,2,1,2,NA,6,1,4137,963
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,2,1,1,2,NA,NA,2,9,3933,501
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,2,1,1,2,NA,NA,2,9,3933,501
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,2,0,120,2,1,1,2,NA,NA,2,9,3933,10023
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,3933,3341
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,45,45,2,2,1,2,NA,NA,2,8,3933,2005
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,2,2,1,2,NA,NA,2,9,3933,334
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,8,3933,5512
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,6,6,1,1,2,NA,6,1,3933,5512
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,3934,7106
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,3934,646
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,1,0,60,4,2,1,2,NA,NA,1,10,3935,879
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,3,7,3935,879
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,1,30,90,2,2,1,2,NA,NA,2,8,3935,879
5,83,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,3935,879
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,3935,5275
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3935,879
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3935,879
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,2,2,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3935,5802
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,30,90,3,2,2,2,NA,NA,2,8,3931,1845
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,4,0,240,2,2,1,2,NA,NA,2,9,3935,527
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,2,0,120,2,2,1,2,NA,NA,2,9,3935,527
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,2,0,120,2,2,1,2,NA,NA,2,8,3925,2631
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,3925,239
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,1,0,2,0,120,5,5,2,1,2,NA,5,2,3925,478
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,2,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,3925,478
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,3,2,1,2,NA,NA,2,9,3932,2223
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,1,1,0,0,45,45,5,3,1,2,NA,NA,3,7,3932,741
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,1,1,1,3,3,0,4500,6,6,2,1,2,NA,6,1,3932,741
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,1,2,2,1,1,2,0,0,30,30,2,2,1,1,1,1,4,5,3925,1196
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,1,10,3925,239
2,48,"Banco, supermercado, tiendas o farmacias",1,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,3926,475
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,40,40,2,2,1,2,NA,NA,2,8,3926,475
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,1,1,0,2,0,120,2,1,1,2,NA,NA,2,8,3926,317
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,3926,317
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,1,1,1,2,NA,NA,1,10,3930,249
2,48,Cajero automático o kiosco inteligente,3,3,3,3,3,3,3,3,2,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,3930,1247
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,1,0,1,0,60,5,5,1,1,2,NA,5,3,3930,125
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,3927,1634
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,2,2,3,3,2,2,2,0,4,0,240,4,4,1,1,2,NA,3,6,3927,446
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,1,10,3928,2806
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,2,3,3,2,2,1,0,0,40,40,3,2,1,2,NA,NA,3,7,3931,615
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,5,65,2,2,1,2,NA,NA,2,9,3925,717
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,3932,3705
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,1,3,3,2,2,2,0,1,0,60,1,1,1,2,NA,NA,1,10,3932,371
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,1,1,1,2,NA,NA,1,10,3932,371
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,1,10,3932,5187
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,20,20,5,5,2,1,2,NA,6,1,3930,125
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,2,3,3,2,1,1,0,2,30,150,4,3,1,2,NA,NA,4,5,3931,615
2,48,"Banco, supermercado, tiendas o farmacias",2,3,3,2,2,3,3,2,2,2,0,0,20,20,2,2,2,2,NA,NA,2,9,3924,627
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,1,1,2,NA,NA,2,9,3933,5011
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,3925,239
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,1,0,0,20,20,2,5,2,1,2,NA,5,2,3930,125
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,40,40,2,2,2,2,NA,NA,2,9,3924,314
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,6,0,360,2,2,1,2,NA,NA,2,8,3925,239
4,29,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,15,15,1,NA,1,2,NA,NA,2,9,1095,6490
2,77,"Módulos, clínicas u oficinas temporales o móviles",1,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,8,4093,258
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,25,25,2,2,1,2,NA,NA,2,8,4091,550
21,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,4,0,240,2,1,1,2,NA,NA,3,7,4092,256
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,1,30,90,2,1,1,2,NA,NA,2,9,4090,786
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,20,20,2,2,1,1,2,NA,4,4,4091,550
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,2,2,2,2,0,2,0,120,5,2,1,2,NA,NA,2,8,4090,393
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,2,2,2,2,0,1,0,60,4,2,1,2,NA,NA,2,8,4090,393
8,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,2,2,0,0,30,30,5,5,2,1,2,NA,4,4,4090,196
5,77,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,1,3,3,3,0,23,59,1439,3,NA,1,2,NA,NA,3,7,4090,393
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,1,0,6,0,360,4,2,1,2,NA,NA,3,7,4064,388
9,77,"Banco, supermercado, tiendas o farmacias",1,2,1,1,2,3,3,2,1,2,0,1,0,60,1,1,1,2,NA,NA,1,10,4064,194
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,1,3,3,1,1,1,0,0,30,30,3,5,1,1,2,NA,2,8,4064,194
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,2,1,0,1,30,90,5,1,1,2,NA,NA,2,9,4064,194
9,77,Líneas de atención telefónica,3,3,3,3,3,9,3,3,3,3,1,0,1,1441,2,2,1,2,NA,NA,1,10,4064,194
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4091,366
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,1,3,2,1,2,0,4,0,240,6,6,1,2,NA,NA,6,1,4065,388
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4065,194
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4068,631
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,2,3,3,2,2,1,0,4,0,240,5,3,1,2,NA,NA,3,7,4068,631
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,1,2,2,0,4,0,240,4,2,1,2,NA,NA,2,8,4068,631
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,7,7,5,2,2,1,2,NA,6,1,4068,631
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,1,1,1,3,3,1,1,2,0,3,0,180,6,6,2,1,2,NA,6,1,4065,194
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,1,0,0,15,15,1,1,1,2,NA,NA,1,10,4089,522
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,1,0,0,30,30,2,1,1,2,NA,NA,2,9,4089,522
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,45,45,2,2,1,2,NA,NA,2,9,4080,793
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,2,0,120,5,5,1,2,NA,NA,4,5,4080,793
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,1,1,1,0,4,0,240,6,2,1,2,NA,NA,5,3,4080,793
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,2,3,3,2,1,1,0,1,0,60,3,3,1,1,2,NA,3,7,4081,538
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,2,3,3,2,1,1,0,1,0,60,3,5,1,1,2,NA,5,2,4081,538
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4081,538
19,77,Líneas de atención telefónica,3,3,3,3,3,9,3,3,3,2,0,2,10,130,2,9,1,2,NA,NA,2,8,4082,393
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,2,2,2,2,1,2,NA,NA,2,9,4082,393
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,2,2,1,2,NA,NA,2,9,4082,393
2,77,"Módulos, clínicas u oficinas temporales o móviles",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4082,393
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,1,2,0,3,0,180,6,6,1,1,2,NA,6,1,4065,194
4,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,2,2,1,NA,1,2,NA,NA,1,10,4092,384
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,1,1,0,1,0,60,3,3,1,1,1,1,3,6,4092,769
19,77,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,5,5,6,6,2,1,1,1,6,1,4092,384
21,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,1,1,1,3,3,1,1,1,0,1,0,60,5,2,3,1,1,1,5,3,4092,384
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4092,128
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,2,2,3,3,2,1,1,0,7,0,420,4,4,1,2,NA,NA,4,4,4092,128
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,1,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4092,128
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,1,2,0,1,0,60,3,2,1,1,1,1,3,7,4092,4227
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4092,384
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,5,2,1,1,2,NA,3,6,4092,384
7,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,20,20,2,2,1,2,NA,NA,2,9,4092,384
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,1,1,1,2,NA,NA,1,10,4092,384
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,1,1,1,2,NA,NA,1,10,4092,384
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4092,256
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,10,10,2,2,1,2,NA,NA,2,8,4069,187
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,1,2,0,2,0,120,4,4,1,2,NA,NA,4,5,4093,258
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4093,773
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,1,2,2,0,1,30,90,2,2,1,2,NA,NA,2,9,4093,387
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,30,150,3,2,1,2,NA,NA,2,8,4082,393
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,9,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4061,278
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4061,278
8,56,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4062,360
8,56,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4062,360
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4062,360
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,2,2,2,1,2,NA,6,1,4062,360
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4063,128
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,2,2,2,2,0,0,30,30,1,2,1,2,NA,NA,2,8,4063,128
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,1,1,2,NA,NA,2,8,4063,128
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,1,0,10,0,600,4,2,1,2,NA,NA,3,7,4064,388
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4096,1406
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,2,3,3,2,2,1,0,8,0,480,5,5,1,1,2,NA,5,2,4096,281
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,7,0,420,6,2,1,2,NA,NA,3,6,4096,563
7,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,2,2,1,2,NA,NA,2,8,4096,563
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,2,3,3,2,1,2,0,3,0,180,3,2,1,2,NA,NA,3,7,4096,281
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,15,15,5,5,2,1,2,NA,5,2,4096,281
2,77,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,4097,715
2,16,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,3,1,2,2,0,1,0,60,2,2,1,1,1,1,2,8,4097,536
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4097,358
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,30,90,2,2,1,2,NA,NA,2,8,4097,358
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,1,1,0,3,0,180,5,2,1,2,NA,NA,6,1,4098,509
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,1,1,0,3,3,183,5,2,1,2,NA,NA,6,1,4098,509
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4098,509
7,56,Otro,2,2,2,2,1,3,3,1,1,1,15,0,1,21601,5,6,1,2,NA,NA,1,10,4065,1940
9,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,1,NA,1,2,NA,NA,1,10,4065,388
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4065,194
4,77,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,6,0,360,6,NA,1,1,2,NA,6,1,4065,194
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,2,2,3,3,2,1,1,0,3,0,180,6,6,1,1,2,NA,6,1,4065,194
7,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,4,0,240,6,4,1,2,NA,NA,5,2,4065,194
7,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4066,444
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,1,0,0,20,20,4,3,1,2,NA,NA,3,7,4066,222
9,56,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,1,2,0,1,0,60,2,2,1,1,2,NA,2,8,4066,444
9,56,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,1,2,0,0,30,30,2,2,1,1,2,NA,2,8,4066,444
9,56,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,1,2,0,0,30,30,2,2,1,1,2,NA,2,8,4066,444
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,1,10,4066,4438
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,2,1,1,2,NA,NA,2,9,4066,444
9,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,1,1,1,2,NA,NA,1,10,4066,444
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,1,3,3,1,2,2,2,0,1,2881,6,6,1,1,1,1,6,1,4066,222
4,77,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,1,NA,1,2,NA,NA,1,10,4066,222
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,1,2,1,0,4,0,240,6,1,1,2,NA,NA,6,1,4066,444
2,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4067,202
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,3,3,3,3,2,1,2,NA,3,6,4058,609
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,4,4,3,3,2,1,2,NA,3,6,4058,609
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,3,3,2,1,2,NA,3,6,4058,609
19,77,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,4,4,2,2,1,2,NA,NA,2,8,4068,263
